Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
4529,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1110 Sq.ft Built Up(103.23 Sq.m),"Jun 4, 2028 Available From",₹90.99 Lakhs
4530,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1625 Sq.ft Built Up(151.13 Sq.m),"Jan 11, 2030 Available From",₹1.20 Crores
4531,"3 BHK 1817 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,1 Bathroom,1817 Sq.ft Built Up(168.98 Sq.m),"Jan 25, 2025 Available From",₹2.50 Crores
4532,"4+ BHK 3450 Sq.ft, Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",4+ Bedrooms,5 Bathrooms,3450 Sq.ft Built Up(320.85 Sq.m),"Nov 30, 2025 Available From",₹5.91 Crores
4533,"3 BHK Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,1 Bathroom,1898 Sq.ft Built Up(176.51 Sq.m),"Dec 4, 2024 Available From",₹2.30 Crores
4534,"3 BHK Apartment for Sale in Chansandra, Bangalore","Chansandra, Bangalore",3 Bedrooms,3 Bathrooms,1756 Sq.ft Built Up(163.31 Sq.m),"Nov 14, 2024 Available From",₹77.28 Lakhs
4535,"3 BHK 1275 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1275 Sq.ft Built Up(118.58 Sq.m),"Dec 31, 2028 Available From",₹2.80 Crores
4536,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1490 Sq.ft Built Up(138.57 Sq.m),"Sep 19, 2027 Available From",₹1.45 Crores
4537,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1110 Sq.ft Built Up(103.23 Sq.m),"Nov 13, 2026 Available From",₹90 Lakhs
4538,"2 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",2 Bedrooms,2 Bathrooms,1010 Sq.ft Built Up(93.93 Sq.m),"Sep 18, 2024 Available From",₹1 Crore
4539,"2 BHK Apartment for Sale in Horamavu, Bangalore","Horamavu, Bangalore",2 Bedrooms,2 Bathrooms,1090 Sq.ft Built Up(101.37 Sq.m),"Jan 15, 2029 Available From",₹61.04 Lakhs
4540,"2 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",2 Bedrooms,2 Bathrooms,1075 Sq.ft Built Up(99.97 Sq.m),"Jul 22, 2025 Available From",₹80 Lakhs
4541,"2 BHK Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1050 Sq.ft Built Up(97.65 Sq.m),"Jul 25, 2027 Available From",₹47.25 Lakhs
4542,"3 BHK Apartment for Sale in Sampigehalli, Bangalore","Sampigehalli, Bangalore",3 Bedrooms,3 Bathrooms,1670 Sq.ft Built Up(155.31 Sq.m),"Jul 22, 2028 Available From",₹1.12 Crores
4543,"2 BHK Apartment for Sale in KR Puram, Bangalore","KR Puram, Bangalore",2 Bedrooms,2 Bathrooms,1335 Sq.ft Built Up(124.16 Sq.m),"Aug 18, 2026 Available From",₹89 Lakhs
4544,"3 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Sep 18, 2024 Available From",₹1.35 Crores
4545,"2 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,2 Bathrooms,1050 Sq.ft Built Up(97.65 Sq.m),"Apr 1, 2030 Available From",₹92.59 Lakhs
4546,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1111 Sq.ft Built Up(103.32 Sq.m),"Sep 22, 2028 Available From",₹47.22 Lakhs
4547,"2 BHK Apartment for Sale in Muthanallur, Bangalore","Muthanallur, Bangalore",2 Bedrooms,2 Bathrooms,1180 Sq.ft Built Up(109.74 Sq.m),"Nov 3, 2027 Available From",₹88.50 Lakhs
4548,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1536 Sq.ft Built Up(142.85 Sq.m),"Jul 5, 2029 Available From",₹64.51 Lakhs
4549,"2 BHK Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",2 Bedrooms,2 Bathrooms,1315 Sq.ft Built Up(122.30 Sq.m),"Dec 9, 2028 Available From",₹1.27 Crores
4550,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2620 Sq.ft Built Up(243.66 Sq.m),"Dec 10, 2024 Available From",₹2.70 Crores
4551,"2 BHK 1241 Sq.ft, Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1241 Sq.ft Built Up(115.41 Sq.m),"Oct 31, 2029 Available From",₹1.11 Crores
4552,"4+ BHK 2314 Sq.ft, Apartment for Sale in Bellandur, Bangalore","Bellandur, Bangalore",4+ Bedrooms,5 Bathrooms,2314 Sq.ft Built Up(215.20 Sq.m),"Dec 31, 2025 Available From",₹3.20 Crores
4553,"3 BHK 1900 Sq.ft, Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1900 Sq.ft Built Up(176.70 Sq.m),"Jul 31, 2028 Available From",₹2.40 Crores
4554,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1625 Sq.ft Built Up(151.13 Sq.m),"Dec 10, 2024 Available From",₹1.28 Crores
4555,"3 BHK Apartment for Sale in Budigere, Bangalore","Budigere, Bangalore",3 Bedrooms,2 Bathrooms,1765 Sq.ft Built Up(164.15 Sq.m),"Jan 6, 2029 Available From",₹2 Crores
4556,"2 BHK Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",2 Bedrooms,2 Bathrooms,1090 Sq.ft Built Up(101.37 Sq.m),"Dec 6, 2027 Available From",₹67.14 Lakhs
4557,"1 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",1 Bedroom,1 Bathroom,764 Sq.ft Built Up(71.05 Sq.m),"Aug 24, 2028 Available From",₹42 Lakhs
4558,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1480 Sq.ft Built Up(137.64 Sq.m),"Dec 9, 2025 Available From",₹1.25 Crores
4559,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1066 Sq.ft Built Up(99.14 Sq.m),"Jan 9, 2025 Available From",₹64 Lakhs
4560,"2 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,2 Bathrooms,945 Sq.ft Built Up(87.89 Sq.m),"Aug 7, 2026 Available From",₹87.98 Lakhs
4561,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1675 Sq.ft Built Up(155.78 Sq.m),"Mar 21, 2026 Available From",₹1.50 Crores
4562,"3 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1665 Sq.ft Built Up(154.84 Sq.m),"Nov 4, 2027 Available From",₹1 Crore
4563,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Sep 24, 2026 Available From",₹2.20 Crores
4564,"1 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",1 Bedroom,1 Bathroom,578 Sq.ft Built Up(53.75 Sq.m),"Dec 10, 2025 Available From",₹50 Lakhs
4565,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1588 Sq.ft Built Up(147.68 Sq.m),"Dec 8, 2026 Available From",₹1.40 Crores
4566,"1 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",1 Bedroom,1 Bathroom,554 Sq.ft Built Up(51.52 Sq.m),"Dec 7, 2026 Available From",₹40 Lakhs
4567,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,898 Sq.ft Built Up(83.51 Sq.m),"Jun 21, 2026 Available From",₹47.22 Lakhs
4568,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Dec 18, 2028 Available From",₹70 Lakhs
4569,"2 BHK Apartment for Sale in Uttarahalli, Bangalore","Uttarahalli, Bangalore",2 Bedrooms,2 Bathrooms,1512 Sq.ft Built Up(140.62 Sq.m),"Sep 4, 2029 Available From",₹1.20 Crores
4570,"3 BHK 1746 Sqft Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1746 Sq.ft Built Up(162.38 Sq.m),"Dec 1, 2025 Available From",₹2.05 Crores
4571,"3 BHK 1899 Sq.ft, Apartment for Sale in Chikkagubbi Village, Bangalore","Chikkagubbi Village, Bangalore",3 Bedrooms,3 Bathrooms,1899 Sq.ft Built Up(176.61 Sq.m),"Jun 8, 2027 Available From",₹1.85 Crores
4572,"1 BHK 652 Sqft Apartment for Sale in Hoskote, Bangalore","Hoskote, Bangalore",1 Bedroom,1 Bathroom,652 Sq.ft Built Up(60.64 Sq.m),"Nov 16, 2024 Available From",₹39.99 Lakhs
4573,"3 BHK 1463 Sqft Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",3 Bedrooms,3 Bathrooms,1463 Sq.ft Built Up(136.06 Sq.m),"Jan 21, 2025 Available From",₹2.10 Crores
4574,"2 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Mar 20, 2025 Available From",₹77 Lakhs
4575,"2 BHK Apartment for Sale in Uttarahalli, Bangalore","Uttarahalli, Bangalore",2 Bedrooms,2 Bathrooms,1131 Sq.ft Built Up(105.18 Sq.m),"Jun 6, 2025 Available From",₹79.17 Lakhs
4576,"2 BHK Apartment for Sale in Kengeri, Bangalore","Kengeri, Bangalore",2 Bedrooms,1 Bathroom,544 Sq.ft Built Up(50.59 Sq.m),"Aug 25, 2026 Available From",₹31 Lakhs
4577,"3 BHK Apartment for Sale in Attibele, Bangalore","Attibele, Bangalore",3 Bedrooms,3 Bathrooms,1414 Sq.ft Built Up(131.50 Sq.m),"Aug 20, 2028 Available From",₹49.07 Lakhs
4578,"2 BHK Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1165 Sq.ft Built Up(108.34 Sq.m),"Oct 28, 2030 Available From",₹87.38 Lakhs
4579,"2 BHK Apartment for Sale in Kogilu, Bangalore","Kogilu, Bangalore",2 Bedrooms,2 Bathrooms,930 Sq.ft Built Up(86.49 Sq.m),"Aug 20, 2025 Available From",₹58 Lakhs
4580,"2 BHK Apartment for Sale in Choodasandra, Bangalore","Choodasandra, Bangalore",2 Bedrooms,2 Bathrooms,999 Sq.ft Built Up(92.91 Sq.m),"Jun 25, 2025 Available From",₹41.20 Lakhs
4581,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1280 Sq.ft Built Up(119.04 Sq.m),"Dec 20, 2025 Available From",₹85.44 Lakhs
4582,"2 BHK Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1030 Sq.ft Built Up(95.79 Sq.m),"Feb 6, 2028 Available From",₹67.29 Lakhs
4583,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1313 Sq.ft Built Up(122.11 Sq.m),"Sep 10, 2030 Available From",₹1.27 Crores
4584,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1726 Sq.ft Built Up(160.52 Sq.m),"Sep 8, 2026 Available From",₹1.95 Crores
4585,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1481 Sq.ft Built Up(137.73 Sq.m),"Sep 24, 2029 Available From",₹96 Lakhs
4586,"3 BHK Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",3 Bedrooms,3 Bathrooms,1665 Sq.ft Built Up(154.84 Sq.m),"May 15, 2029 Available From",₹2.15 Crores
4587,"2 BHK 1047 Sq.ft, Apartment for Sale in Hennur Road, Bangalore","Hennur Road, Bangalore",2 Bedrooms,1 Bathroom,1047 Sq.ft Built Up(97.37 Sq.m),"Dec 31, 2024 Available From",₹62.76 Lakhs
4588,"2 BHK 997 Sqft Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,997 Sq.ft Built Up(92.72 Sq.m),"Jan 14, 2025 Available From",₹76.59 Lakhs
4589,"2 BHK 1100 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Nov 19, 2024 Available From",₹1.03 Crores
4590,"3 BHK 1460 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1460 Sq.ft Built Up(135.78 Sq.m),"Nov 19, 2024 Available From",₹1.35 Crores
4591,"4+ BHK 2290 Sqft Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",4+ Bedrooms,5 Bathrooms,2290 Sq.ft Built Up(212.97 Sq.m),"Jan 31, 2025 Available From",₹3.25 Crores
4592,"3 BHK Apartment for Sale in Attibele, Bangalore","Attibele, Bangalore",3 Bedrooms,3 Bathrooms,1414 Sq.ft Built Up(131.50 Sq.m),"Aug 20, 2028 Available From",₹49.07 Lakhs
4593,"2 BHK Apartment for Sale in Kogilu, Bangalore","Kogilu, Bangalore",2 Bedrooms,2 Bathrooms,930 Sq.ft Built Up(86.49 Sq.m),"Aug 20, 2025 Available From",₹58 Lakhs
4594,"2 BHK Apartment for Sale in Choodasandra, Bangalore","Choodasandra, Bangalore",2 Bedrooms,2 Bathrooms,999 Sq.ft Built Up(92.91 Sq.m),"Jun 25, 2025 Available From",₹41.20 Lakhs
4595,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1481 Sq.ft Built Up(137.73 Sq.m),"Sep 24, 2029 Available From",₹96 Lakhs
4596,"3 BHK Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",3 Bedrooms,3 Bathrooms,1665 Sq.ft Built Up(154.84 Sq.m),"May 15, 2029 Available From",₹2.15 Crores
4597,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1290 Sq.ft Built Up(119.97 Sq.m),"Jul 12, 2026 Available From",₹1.20 Crores
4598,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1142 Sq.ft Built Up(106.21 Sq.m),"Jan 10, 2027 Available From",₹95 Lakhs
4599,"3 BHK Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",3 Bedrooms,3 Bathrooms,973 Sq.ft Built Up(90.49 Sq.m),"Aug 11, 2030 Available From",₹53 Lakhs
4600,"3 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1640 Sq.ft Built Up(152.52 Sq.m),"Oct 22, 2026 Available From",₹1.55 Crores
4601,"3 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,1 Bathroom,1663 Sq.ft Built Up(154.66 Sq.m),"Nov 9, 2024 Available From",₹2.40 Crores
4602,"3 BHK 1850 Sq.ft, Apartment for Sale in Halanayakanahalli, Bangalore","Halanayakanahalli, Bangalore",3 Bedrooms,1 Bathroom,1850 Sq.ft Built Up(172.05 Sq.m),"Dec 30, 2028 Available From",₹1.90 Crores
4603,"4+ BHK 3364 Sqft Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",4+ Bedrooms,5 Bathrooms,3364 Sq.ft Built Up(312.85 Sq.m),"Jan 22, 2025 Available From",₹6.60 Crores
4604,"3 BHK 1548 Sqft Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",3 Bedrooms,3 Bathrooms,1548 Sq.ft Built Up(143.96 Sq.m),"Nov 7, 2024 Available From",₹80 Lakhs
4605,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,2 Bathrooms,1334 Sq.ft Built Up(124.06 Sq.m),"Sep 30, 2028 Available From",₹1.25 Crores
4606,"3 BHK 1900 Sqft Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1900 Sq.ft Built Up(176.70 Sq.m),"Jun 1, 2028 Available From",₹2.40 Crores
4607,"2 BHK 1285 Sq. ft Apartment for Sale in Chandapura, Bangalore","Chandapura, Bangalore",2 Bedrooms,2 Bathrooms,1285 Sq.ft Built Up(119.50 Sq.m),"Mar 31, 2025 Available From",₹74 Lakhs
4608,"3 BHK 1500 Sq. ft Apartment for Sale in Judicial Layout, Bangalore","Judicial Layout, Bangalore",3 Bedrooms,2 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Jan 19, 2025 Available From",₹2.50 Crores
4609,"3 BHK Villa for Sale in Medihalli, Bangalore","Medihalli, Bangalore",3 Bedrooms,3 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Oct 9, 2024 Available From",₹65 Lakhs
4610,"4 BHK Villa for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",4 Bedrooms,4 Bathrooms,5342 Sq.ft Built Up(496.81 Sq.m),"Oct 9, 2024 Available From",₹8.50 Crores
4611,"2 BHK Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",2 Bedrooms,2 Bathrooms,1251 Sq.ft Built Up(116.34 Sq.m),"Oct 9, 2024 Available From",₹81.30 Lakhs
4612,"2 BHK Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",2 Bedrooms,2 Bathrooms,735 Sq.ft Built Up(68.36 Sq.m),"Oct 9, 2024 Available From",₹65 Lakhs
4613,"2 BHK 1200 Sq.ft, Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,1 Bathroom,1200 Sq.ft Built Up(111.60 Sq.m),"Jun 30, 2028 Available From",₹1.43 Crores
4614,"2 BHK 1085 Sqft Apartment for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",2 Bedrooms,2 Bathrooms,1085 Sq.ft Built Up(100.91 Sq.m),"Aug 31, 2027 Available From",₹99.49 Lakhs
4615,"2 BHK 1300 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Dec 31, 2029 Available From",₹1.28 Crores
4616,"2 BHK 1125 Sq.ft, Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1125 Sq.ft Built Up(104.63 Sq.m),"Oct 31, 2029 Available From",₹1.05 Crores
4617,"4+ BHK Apartment for Sale in Budigere, Bangalore","Budigere, Bangalore",4+ Bedrooms,5 Bathrooms,1991 Sq.ft Built Up(185.16 Sq.m),"Dec 13, 2024 Available From",₹2.15 Crores
4618,"3 BHK 1560 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1560 Sq.ft Built Up(145.08 Sq.m),"Jun 1, 2025 Available From",₹1.80 Crores
4619,"3 BHK Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",3 Bedrooms,3 Bathrooms,2197 Sq.ft Built Up(204.32 Sq.m),"Oct 9, 2024 Available From",₹1.42 Crores
4620,"4+ BHK Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",4+ Bedrooms,5 Bathrooms,3634 Sq.ft Built Up(337.96 Sq.m),"Jan 6, 2027 Available From",₹4.31 Crores
4621,"2 BHK Apartment for Sale in Kasavanahalli, Bangalore","Kasavanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1216 Sq.ft Built Up(113.09 Sq.m),"Jan 1, 2025 Available From",₹60.33 Lakhs
4622,"3 BHK Apartment for Sale in Muddenahalli, Bangalore","Muddenahalli, Bangalore",3 Bedrooms,3 Bathrooms,1650 Sq.ft Built Up(153.45 Sq.m),"Oct 9, 2024 Available From",₹1.38 Crores
4623,"2 BHK Apartment for Sale in Gummanahalli, Bangalore","Gummanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1077 Sq.ft Built Up(100.16 Sq.m),"Jan 12, 2028 Available From",₹90.58 Lakhs
4624,"2 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",2 Bedrooms,2 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Oct 9, 2024 Available From",₹1.54 Crores
4625,"4 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",4 Bedrooms,4 Bathrooms,4200 Sq.ft Built Up(390.60 Sq.m),"Oct 9, 2024 Available From",₹3.08 Crores
4626,"2 BHK Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",2 Bedrooms,2 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Oct 9, 2024 Available From",₹84.50 Lakhs
4627,"3 BHK Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",3 Bedrooms,3 Bathrooms,2117 Sq.ft Built Up(196.88 Sq.m),"Oct 9, 2024 Available From",₹1.37 Crores
4628,"2 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,2 Bathrooms,1250 Sq.ft Built Up(116.25 Sq.m),"Oct 9, 2024 Available From",₹1.65 Crores
4629,"3 BHK Apartment for Sale in Gummanahalli, Bangalore","Gummanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1596 Sq.ft Built Up(148.43 Sq.m),"Jan 12, 2028 Available From",₹1.43 Crores
4630,"2 BHK Apartment for Sale in Budigere Cross, Bangalore","Budigere Cross, Bangalore",2 Bedrooms,2 Bathrooms,888 Sq.ft Built Up(82.58 Sq.m),"Oct 9, 2024 Available From",₹70 Lakhs
4631,"2 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",2 Bedrooms,2 Bathrooms,1306 Sq.ft Built Up(121.46 Sq.m),"Jun 6, 2025 Available From",₹85 Lakhs
4632,"2 BHK Apartment for Sale in Gummanahalli, Bangalore","Gummanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1092 Sq.ft Built Up(101.56 Sq.m),"Jan 12, 2028 Available From",₹89.27 Lakhs
4633,"2 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",2 Bedrooms,2 Bathrooms,1133 Sq.ft Built Up(105.37 Sq.m),"Oct 9, 2024 Available From",₹95 Lakhs
4634,"4 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",4 Bedrooms,4 Bathrooms,6001 Sq.ft Built Up(558.09 Sq.m),"Nov 7, 2024 Available From",₹6 Crores
4635,"2 BHK 900 Sq.ft, Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,1 Bathroom,900 Sq.ft Built Up(83.70 Sq.m),"Sep 1, 2025 Available From",₹95 Lakhs
4636,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2301 Sq.ft Built Up(213.99 Sq.m),"Dec 10, 2024 Available From",₹2.05 Crores
4637,"2 BHK 1125 Sq.ft, Apartment for Sale in Vaderahalli, Bangalore","Vaderahalli, Bangalore",2 Bedrooms,2 Bathrooms,1125 Sq.ft Built Up(104.63 Sq.m),"Jan 25, 2025 Available From",₹86 Lakhs
4638,"4 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,4 Bathrooms,2396 Sq.ft Built Up(222.83 Sq.m),"Dec 6, 2024 Available From",₹2.36 Crores
4639,"4+ BHK Villa for Sale in Kodathi, Bangalore","Kodathi, Bangalore",4+ Bedrooms,5 Bathrooms,3939 Sq.ft Built Up(366.33 Sq.m),"Oct 9, 2024 Available From",₹7 Crores
4640,"3 BHK Apartment for Sale in Off Hennur Road, Bangalore","Off Hennur Road, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Oct 9, 2024 Available From",₹2.50 Crores
4641,"3 BHK Apartment for Sale in Kasavanahalli, Bangalore","Kasavanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Oct 9, 2024 Available From",₹1.35 Crores
4642,"3 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1885 Sq.ft Built Up(175.31 Sq.m),"Oct 9, 2024 Available From",₹1.58 Crores
4643,"3 BHK Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",3 Bedrooms,3 Bathrooms,1460 Sq.ft Built Up(135.78 Sq.m),"Oct 9, 2024 Available From",₹94.90 Lakhs
4644,"3 BHK Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",3 Bedrooms,3 Bathrooms,2333 Sq.ft Built Up(216.97 Sq.m),"Oct 9, 2024 Available From",₹1.45 Crores
4645,"4+ BHK Apartment for Sale in Jakkur, Bangalore","Jakkur, Bangalore",4+ Bedrooms,5 Bathrooms,2630 Sq.ft Built Up(244.59 Sq.m),"Oct 9, 2024 Available From",₹1.70 Crores
4646,"3 BHK Apartment for Sale in JP Nagar, Bangalore","JP Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1766 Sq.ft Built Up(164.24 Sq.m),"Oct 9, 2024 Available From",₹18.54 Crores
4647,"3 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,2628 Sq.ft Built Up(244.40 Sq.m),"Oct 9, 2024 Available From",₹4 Crores
